species,country_of_origin,number_of_bags,bag_weight,processing_method,aroma,flavor,body,uniformity
Arabica,Colombia,600,29.0,Washed,7.67,7.67,7.67,10.0
Arabica,Costa Rica,275,69.0,Washed,7.58,7.5,7.5,10.0
Arabica,Uganda,20,1218.0,Washed,7.58,7.75,7.67,10.0
Arabica,Thailand,500,25.0,Washed,7.5,7.58,7.75,10.0
Arabica,El Salvador,275,69.0,Washed,7.58,7.5,7.75,10.0
Arabica,Colombia,275,70.0,Natural,7.58,7.67,7.58,10.0
Arabica,Brazil,300,60.0,Semi-Washed,7.33,7.83,7.42,10.0
Arabica,"Tanzania, United Republic Of",39,60.0,Washed,7.75,7.67,7.58,10.0
Arabica,Colombia,250,70.0,Washed,7.58,7.58,7.75,9.33
Arabica,Guatemala,250,69.0,Natural,7.75,7.83,7.5,10.0
Arabica,Guatemala,250,69.0,Washed,7.67,7.5,7.75,10.0
Arabica,United States (Hawaii),13,45.3592,Natural,7.42,7.75,7.67,10.0
Arabica,Colombia,250,70.0,Washed,7.5,7.75,7.67,10.0
Arabica,Colombia,275,70.0,Washed,7.75,7.5,7.58,10.0
Arabica,Colombia,130,70.0,Washed,7.67,7.58,7.67,10.0
Arabica,Colombia,275,70.0,Washed,7.83,7.58,7.5,10.0
Arabica,Brazil,10,2.0,Semi-Washed,7.5,7.83,7.58,10.0
Arabica,Mexico,275,1.0,Washed,7.75,7.75,7.5,10.0
Arabica,Colombia,275,70.0,Washed,7.67,7.75,7.83,10.0
Arabica,"Tanzania, United Republic Of",10,60.0,Semi-Washed,7.75,7.58,7.58,10.0
Arabica,Mexico,200,1.0,Washed,7.67,7.67,7.5,10.0
Arabica,Costa Rica,250,1.360776,Washed,7.67,7.67,7.67,10.0
Arabica,United States (Hawaii),12,45.3592,Natural,7.83,7.58,7.92,9.33
Arabica,Costa Rica,250,1.0,Washed,7.5,7.67,7.83,10.0
Arabica,Peru,280,2.26796,Washed,7.83,7.75,7.92,9.33
Arabica,Haiti,2,1.814368,Washed,7.58,7.5,7.83,10.0
Arabica,Colombia,250,70.0,Natural,7.67,7.67,7.92,10.0
Arabica,United States (Hawaii),7,45.3592,Natural,7.92,7.5,7.67,9.33
Arabica,Burundi,220,60.0,Washed,7.75,7.67,7.5,10.0
Arabica,Colombia,250,70.0,Washed,7.5,7.67,7.67,10.0
Arabica,Mexico,50,50.0,Washed,7.67,7.83,7.33,10.0
Arabica,Costa Rica,29,46.0,Pulped-Natural,7.5,7.5,7.67,10.0
Arabica,Costa Rica,275,69.0,Washed,7.83,7.5,7.5,10.0
Arabica,Guatemala,275,0.0,Washed,7.5,7.58,7.67,10.0
Arabica,Uganda,150,9000.0,Washed,7.5,7.67,7.67,10.0
Arabica,Colombia,304,35.0,Natural,7.58,7.67,7.75,10.0
Arabica,Mexico,11,2.0,Natural,7.83,7.75,7.58,10.0
Arabica,Taiwan,10,15.0,Washed,7.67,7.5,7.67,10.0
Arabica,Taiwan,10,60.0,Washed,7.92,7.83,7.5,10.0
Arabica,Colombia,250,70.0,Natural,7.58,7.58,7.58,10.0
Arabica,Guatemala,26,69.0,Washed,7.5,7.67,7.67,10.0
Arabica,Colombia,275,70.0,Washed,7.83,7.5,7.67,10.0
Arabica,Mexico,200,1.0,Washed,7.58,7.75,7.58,10.0
Arabica,United States (Hawaii),11,45.3592,Natural,7.58,7.75,8.08,9.33
Arabica,Mexico,10,1.0,Washed,7.75,7.58,7.5,10.0
Arabica,Mexico,54,1.0,Washed,7.75,7.75,7.33,10.0
Arabica,Guatemala,250,1.0,Washed,7.83,7.58,7.42,10.0
Arabica,Brazil,30,60.0,Semi-Washed,7.75,7.67,7.58,10.0
Arabica,Colombia,250,70.0,Washed,7.67,7.58,7.83,10.0
Arabica,Colombia,175,70.0,Washed,7.67,7.67,7.58,10.0
Arabica,Brazil,320,60.0,Natural,7.67,7.42,7.67,10.0
Arabica,Guatemala,275,69.0,Washed,7.58,7.58,7.75,10.0
Arabica,"Tanzania, United Republic Of",320,60.0,Washed,7.67,7.58,7.67,10.0
