country_of_origin,species,processing_method,cupper_points,YumScore
Colombia,Arabica,Washed / Wet,7.67,0.8332499999999999
Colombia,Arabica,Washed / Wet,7.58,0.829
Taiwan,Arabica,Washed / Wet,7.17,0.8397500000000001
Colombia,Arabica,Natural / Dry,7.5,0.82925
Mexico,Arabica,Washed / Wet,7.67,0.82925
Mexico,Arabica,Washed / Wet,7.83,0.8230000000000001
Mexico,Arabica,Washed / Wet,7.75,0.81875
Colombia,Arabica,Washed / Wet,7.75,0.827
Colombia,Arabica,,7.58,0.83125
Costa Rica,Arabica,Washed / Wet,7.83,0.8210000000000001
Guatemala,Arabica,Washed / Wet,7.67,0.8332499999999999
Taiwan,Arabica,,7.75,0.82925
Brazil,Arabica,Natural / Dry,8.0,0.8145
Taiwan,Arabica,Washed / Wet,7.83,0.8210000000000001
Ethiopia,Arabica,Natural / Dry,7.75,0.827
Brazil,Arabica,Semi-washed / Semi-pulped,8.08,0.82925
Costa Rica,Arabica,Washed / Wet,7.67,0.825
Guatemala,Arabica,Washed / Wet,7.75,0.8247500000000001
Brazil,Arabica,Natural / Dry,7.75,0.8397500000000001
Ecuador,Arabica,Natural / Dry,7.67,0.825
Colombia,Arabica,Washed / Wet,7.92,0.82075
Guatemala,Arabica,Washed / Wet,7.67,0.829
Mexico,Arabica,Natural / Dry,7.92,0.8335000000000001
Mexico,Arabica,Natural / Dry,7.83,0.825
Brazil,Arabica,Semi-washed / Semi-pulped,7.83,0.829
Thailand,Arabica,,7.5,0.82925
Thailand,Arabica,,7.75,0.827
Ethiopia,Arabica,,7.5,0.8310000000000001
Kenya,Arabica,Washed / Wet,7.83,0.827
Brazil,Arabica,Natural / Dry,7.75,0.8252499999999999
Colombia,Arabica,Washed / Wet,7.75,0.8310000000000001
Taiwan,Arabica,Natural / Dry,7.75,0.8252499999999999
Colombia,Arabica,Washed / Wet,7.67,0.8355
China,Arabica,Washed / Wet,7.75,0.829
Colombia,Arabica,Natural / Dry,7.75,0.825
Uganda,Arabica,Natural / Dry,7.67,0.83125
United States (Puerto Rico),Arabica,Washed / Wet,7.75,0.8247500000000001
Colombia,Arabica,Washed / Wet,7.67,0.8210000000000001
Colombia,Arabica,Washed / Wet,7.5,0.82725
Colombia,Arabica,Washed / Wet,7.75,0.8230000000000001
Colombia,Arabica,Washed / Wet,7.58,0.8210000000000001
United States (Hawaii),Arabica,Natural / Dry,7.75,0.8125
Mexico,Arabica,Natural / Dry,7.83,0.829
Guatemala,Arabica,Washed / Wet,7.75,0.825
Colombia,Arabica,,8.08,0.827
Colombia,Arabica,,7.75,0.825
United States (Hawaii),Arabica,,7.75,0.827
Brazil,Arabica,Natural / Dry,7.83,0.82925
Kenya,Arabica,Washed / Wet,7.75,0.825
Honduras,Arabica,Washed / Wet,7.33,0.825
Nicaragua,Arabica,Washed / Wet,7.5,0.83125
Brazil,Arabica,Natural / Dry,7.83,0.8227499999999999
Taiwan,Arabica,Natural / Dry,7.75,0.825
Costa Rica,Arabica,,8.33,0.8167500000000001
Thailand,Arabica,Washed / Wet,7.75,0.8230000000000001
Colombia,Arabica,Washed / Wet,7.83,0.8230000000000001
Guatemala,Arabica,Washed / Wet,7.5,0.82075
Colombia,Arabica,Washed / Wet,7.58,0.829
Colombia,Arabica,Washed / Wet,7.92,0.8167500000000001
Guatemala,Arabica,Washed / Wet,7.5,0.8335000000000001
Guatemala,Arabica,Washed / Wet,7.67,0.82925
Colombia,Arabica,Washed / Wet,7.83,0.8167500000000001
Guatemala,Arabica,Natural / Dry,8.0,0.84375
Guatemala,Arabica,Washed / Wet,7.5,0.8355
Mexico,Arabica,Washed / Wet,7.58,0.825
Indonesia,Arabica,Washed / Wet,7.58,0.8314999999999999
Guatemala,Arabica,Washed / Wet,7.83,0.8210000000000001
United States (Hawaii),Arabica,,8.17,0.82075
Brazil,Arabica,Natural / Dry,7.92,0.8230000000000001
Guatemala,Arabica,Washed / Wet,7.58,0.827
Colombia,Arabica,Washed / Wet,7.67,0.82925
China,Arabica,Washed / Wet,7.75,0.8230000000000001
Colombia,Arabica,Washed / Wet,7.58,0.82925
Mexico,Arabica,Washed / Wet,7.75,0.825
Ethiopia,Arabica,Washed / Wet,7.75,0.8230000000000001
Uganda,Arabica,Washed / Wet,7.67,0.82725
Colombia,Arabica,Natural / Dry,7.67,0.8230000000000001
Colombia,Arabica,Washed / Wet,7.67,0.8230000000000001
Colombia,Arabica,Washed / Wet,7.58,0.827
Taiwan,Arabica,Other,7.5,0.825
Colombia,Arabica,Washed / Wet,7.67,0.82725
Mexico,Arabica,Washed / Wet,7.67,0.82925
Colombia,Arabica,Natural / Dry,7.75,0.8230000000000001
Brazil,Arabica,Semi-washed / Semi-pulped,7.67,0.827
Colombia,Arabica,Washed / Wet,7.58,0.827
Taiwan,Arabica,,10.0,0.8039999999999999
Costa Rica,Arabica,Washed / Wet,7.83,0.8210000000000001
Colombia,Arabica,Natural / Dry,7.58,0.827
Guatemala,Arabica,Washed / Wet,7.58,0.825
Colombia,Arabica,Washed / Wet,7.75,0.8227499999999999
"Tanzania, United Republic Of",Arabica,Washed / Wet,7.58,0.82725
Indonesia,Arabica,Semi-washed / Semi-pulped,7.67,0.81875
Ethiopia,Arabica,Natural / Dry,7.58,0.82925
Colombia,Arabica,Washed / Wet,7.67,0.8167500000000001
Colombia,Arabica,Washed / Wet,7.58,0.8375
Guatemala,Arabica,Washed / Wet,7.75,0.81875
Colombia,Arabica,Washed / Wet,7.67,0.829
Honduras,Arabica,Natural / Dry,7.83,0.8210000000000001
Colombia,Arabica,Washed / Wet,7.67,0.827
Colombia,Arabica,Washed / Wet,7.58,0.82075
Mexico,Arabica,Natural / Dry,8.42,0.8227499999999999
Mexico,Arabica,Semi-washed / Semi-pulped,7.58,0.825
Mexico,Arabica,Washed / Wet,7.83,0.81875
Guatemala,Arabica,Washed / Wet,7.5,0.825
Colombia,Arabica,Washed / Wet,7.67,0.8230000000000001
Guatemala,Arabica,Washed / Wet,7.58,0.825
United States (Hawaii),Arabica,,7.58,0.81875
Indonesia,Arabica,,7.58,0.829
Colombia,Arabica,Washed / Wet,7.67,0.82075
Guatemala,Arabica,Washed / Wet,7.67,0.825
Colombia,Arabica,Washed / Wet,7.67,0.8252499999999999
Costa Rica,Arabica,Washed / Wet,7.83,0.8145
Taiwan,Arabica,,10.0,0.8085000000000001
Uganda,Arabica,Washed / Wet,7.75,0.825
Thailand,Arabica,Washed / Wet,7.67,0.82075
El Salvador,Arabica,Washed / Wet,7.58,0.82075
Colombia,Arabica,Natural / Dry,7.67,0.82075
Brazil,Arabica,Semi-washed / Semi-pulped,7.75,0.8145
"Tanzania, United Republic Of",Arabica,Washed / Wet,7.58,0.825
Colombia,Arabica,Washed / Wet,7.58,0.806
Guatemala,Arabica,Natural / Dry,7.5,0.827
Guatemala,Arabica,Washed / Wet,7.58,0.825
Guatemala,Arabica,Washed / Wet,7.58,0.8230000000000001
United States (Hawaii),Arabica,Natural / Dry,7.67,0.8210000000000001
Colombia,Arabica,Washed / Wet,7.67,0.8230000000000001
Colombia,Arabica,,7.58,0.8227499999999999
United States (Hawaii),Arabica,,7.5,0.83125
Thailand,Arabica,,7.83,0.81875
Mexico,Arabica,,8.0,0.79075
Colombia,Arabica,Washed / Wet,7.58,0.82075
Colombia,Arabica,Washed / Wet,7.67,0.8230000000000001
Colombia,Arabica,Washed / Wet,7.67,0.8227499999999999
Brazil,Arabica,Semi-washed / Semi-pulped,7.58,0.8227499999999999
Mexico,Arabica,Washed / Wet,7.58,0.825
Colombia,Arabica,Washed / Wet,7.42,0.83125
"Tanzania, United Republic Of",Arabica,Semi-washed / Semi-pulped,7.58,0.8227499999999999
Mexico,Arabica,Washed / Wet,7.67,0.8210000000000001
Costa Rica,Arabica,Washed / Wet,7.58,0.8252499999999999
United States (Hawaii),Arabica,Natural / Dry,7.83,0.8164999999999999
Costa Rica,Arabica,Washed / Wet,8.0,0.825
Peru,Arabica,Washed / Wet,7.5,0.82075
Haiti,Arabica,Washed / Wet,7.83,0.8227499999999999
Colombia,Arabica,Natural / Dry,7.5,0.8314999999999999
Guatemala,Arabica,Washed / Wet,7.67,0.82925
United States (Hawaii),Arabica,Natural / Dry,7.83,0.8105
Burundi,Arabica,Washed / Wet,7.83,0.8230000000000001
Colombia,Arabica,Washed / Wet,7.67,0.8210000000000001
United States (Hawaii),Arabica,,7.92,0.8227499999999999
United States (Hawaii),Arabica,,7.5,0.827
Mexico,Arabica,Washed / Wet,7.67,0.82075
Costa Rica,Arabica,Pulped natural / honey,7.58,0.8167500000000001
Costa Rica,Arabica,Washed / Wet,7.67,0.82075
Guatemala,Arabica,Washed / Wet,7.67,0.81875
Uganda,Arabica,Washed / Wet,7.67,0.8210000000000001
Brazil,Arabica,,8.0,0.8230000000000001
Colombia,Arabica,Natural / Dry,7.58,0.825
Mexico,Arabica,Natural / Dry,7.42,0.829
Taiwan,Arabica,Washed / Wet,7.58,0.8210000000000001
Taiwan,Arabica,Washed / Wet,7.33,0.83125
Colombia,Arabica,Natural / Dry,7.67,0.8185
Guatemala,Arabica,Washed / Wet,7.67,0.8210000000000001
Colombia,Arabica,Washed / Wet,7.58,0.825
Mexico,Arabica,Washed / Wet,7.75,0.8227499999999999
United States (Hawaii),Arabica,Natural / Dry,7.67,0.8185
Mexico,Arabica,Washed / Wet,7.67,0.82075
Mexico,Arabica,Washed / Wet,7.58,0.82075
Guatemala,Arabica,Washed / Wet,7.42,0.82075
Brazil,Arabica,Semi-washed / Semi-pulped,7.58,0.825
Colombia,Arabica,Washed / Wet,7.58,0.827
Colombia,Arabica,Washed / Wet,7.67,0.8230000000000001
Colombia,Arabica,,7.5,0.8375
Colombia,Arabica,,7.5,0.8335000000000001
Colombia,Arabica,,7.58,0.82725
Brazil,Arabica,Natural / Dry,7.75,0.819
Guatemala,Arabica,Washed / Wet,7.67,0.8227499999999999
"Tanzania, United Republic Of",Arabica,Washed / Wet,7.58,0.8230000000000001
Peru,Arabica,,7.5,0.82725
Vietnam,Arabica,Natural / Dry,7.58,0.8145
Guatemala,Arabica,Washed / Wet,7.5,0.825
Honduras,Arabica,Washed / Wet,7.5,0.8210000000000001
China,Arabica,Washed / Wet,7.67,0.8210000000000001
China,Arabica,Washed / Wet,7.67,0.819
El Salvador,Arabica,Washed / Wet,7.5,0.825
Guatemala,Arabica,Washed / Wet,7.5,0.82075
Guatemala,Arabica,Washed / Wet,7.42,0.82725
Kenya,Arabica,Washed / Wet,7.83,0.8185
Thailand,Arabica,Washed / Wet,7.5,0.8167500000000001
"Tanzania, United Republic Of",Arabica,Washed / Wet,7.67,0.8167500000000001
Colombia,Arabica,Washed / Wet,7.75,0.8145
Uganda,Arabica,Washed / Wet,7.67,0.825
Colombia,Arabica,Washed / Wet,7.58,0.8227499999999999
Honduras,Arabica,Natural / Dry,7.67,0.8167500000000001
Honduras,Arabica,Natural / Dry,7.5,0.8210000000000001
Guatemala,Arabica,Washed / Wet,7.67,0.81225
United States (Hawaii),Arabica,Natural / Dry,7.58,0.8230000000000001
